,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
5,miracatu,BR,-24.2814,-47.4597,73.44,70,49,8.14
9,mutuipe,BR,-13.2286,-39.5047,74.57,70,62,5.3
48,driyorejo,ID,-7.3659,112.6219,71.46,94,20,5.75
64,limoeiro de anadia,BR,-9.7406,-36.5028,72.43,91,89,7.36
65,collie,AU,-33.3667,116.15,42.98,86,100,5.41
109,solwezi,ZM,-12.1688,26.3894,54.25,48,100,3.71
114,graaff-reinet,ZA,-32.2522,24.5308,59.45,31,0,12.17
115,lorena,BR,-22.7308,-45.1247,87.93,27,0,8.05
119,sumedang,ID,-6.8592,107.9207,70.97,88,45,4.0
126,la union,PE,-5.4,-80.75,84.02,45,2,14.94
128,luzilandia,BR,-3.4578,-42.3703,91.58,40,15,5.61
140,campo formoso,BR,-10.5075,-40.3214,74.37,63,83,7.07
149,chiclayo,PE,-6.7736,-79.8417,73.35,64,0,14.97
150,whakatane,NZ,-37.9585,176.9854,48.78,87,43,5.84
155,pilar,BR,-9.5972,-35.9567,76.93,84,21,5.64
159,bulawayo,ZW,-20.15,28.5833,50.09,52,0,9.04
167,oliveira,BR,-20.6964,-44.8272,73.15,29,5,5.41
168,tres barras,BR,-26.1064,-50.3222,49.41,93,100,6.78
183,santa rosa de viterbo,BR,-21.4728,-47.3631,86.47,25,3,6.51
187,melo,UY,-32.3667,-54.1833,46.06,56,25,17.6
210,papara,BR,-3.9839,-38.7273,82.8,60,8,5.93
219,ovalle,CL,-30.5983,-71.2003,71.31,13,0,4.25
223,bongaree,AU,-27.0797,153.1586,50.31,84,2,7.25
235,perth,AU,-31.9333,115.8333,52.14,93,75,6.91
236,valparaiso,CL,-33.0393,-71.6273,60.17,54,0,12.66
241,trinidad,BO,-14.8333,-64.9,73.38,49,75,20.71
244,francistown,BW,-21.17,27.5079,51.84,48,0,8.03
247,tunduma,TZ,-9.3,32.7667,46.62,82,83,6.78
253,lady frere,ZA,-31.7031,27.2329,54.14,27,0,14.03
259,kibaya,TZ,-5.3,36.5667,57.87,52,6,9.13
268,santo andre,BR,-23.6639,-46.5383,79.7,31,0,11.5
274,jandaia do sul,BR,-23.6031,-51.6433,59.65,84,100,11.74
280,konde,TZ,-4.95,39.75,74.86,78,4,15.84
281,gisenyi,RW,-1.7028,29.2564,67.12,60,90,1.23
297,pilikwe,BW,-22.799,27.1938,52.47,49,0,6.13
298,lebowakgomo,ZA,-24.2,29.5,41.45,47,0,4.59
301,santiago,CL,-33.4569,-70.6483,61.36,31,0,4.61
327,sao lourenco da serra,BR,-23.8525,-46.9425,80.11,34,47,6.38
347,alhandra,BR,-7.4386,-34.9144,82.62,82,9,9.19
354,cap malheureux,MU,-19.9842,57.6142,67.46,90,56,5.01
357,elias fausto,BR,-23.0428,-47.3739,82.0,23,47,11.41
375,ayolas,PY,-27.4,-56.9,54.82,32,0,10.11
392,conceicao do mato dentro,BR,-19.0372,-43.425,77.61,27,16,5.37
396,miguel calmon,BR,-11.4289,-40.595,75.15,61,38,4.41
404,elliot,ZA,-31.3333,27.85,47.95,28,0,12.86
406,la libertad,EC,-2.2333,-80.9,76.66,78,0,9.22
429,nakuru,KE,-0.2833,36.0667,58.82,96,100,3.11
463,nova serrana,BR,-19.8761,-44.9836,77.14,25,5,4.32
467,santa elena,EC,-2.2333,-80.85,76.55,78,0,9.22
470,careiro da varzea,BR,-3.2003,-59.8119,90.21,36,1,1.5
503,mranggen,ID,-7.0268,110.5158,71.98,85,80,5.19
506,machaneng,BW,-23.1862,27.4886,54.41,46,0,7.74
507,riachao,BR,-7.3619,-46.6172,92.44,24,2,4.5
519,santiago,CL,-33.4569,-70.6483,61.36,31,0,4.61
522,catabola,AO,-12.15,17.2833,57.67,29,72,2.08
530,isoka,ZM,-10.1606,32.6335,50.59,71,5,0.56
